date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:23	432052/432052	---MCZ	200	added ('OK')	text/html	etag:W/%2205ca1379f8890231fa459411dd206fd3%22	https://marceloamores61.wixsite.com/marce	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce.html	(from )
10:17:24	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://marceloamores61.wixsite.com/robots.txt		(from )
10:17:25	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://marceloamores61.wixsite.com/marce)
10:17:25	1171/1171	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://marceloamores61.wixsite.com/marce)
10:17:32	37648/37648	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2007%20Jan%202021%2011:10:11%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/MARCE/WEB/marce2/polyfill.io/v3/polyfill.mind82c.js	(from https://marceloamores61.wixsite.com/marce)
10:17:34	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jan%202021%2015:17:31%20GMT	https://marceloamores61.wixsite.com/marce/decodeURIComponent(e	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce/decodeURIComponent(e	(from https://marceloamores61.wixsite.com/marce)
10:17:38	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/Users/MARCE/WEB/marce2/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:38	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jan%202021%2015:17:37%20GMT	https://marceloamores61.wixsite.com/marce/https:	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce/https_	(from https://marceloamores61.wixsite.com/marce)
10:17:40	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jan%202021%2015:17:38%20GMT	https://marceloamores61.wixsite.com/marce/robots.txt	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce/robots.txt	(from https://marceloamores61.wixsite.com/marce)
10:17:41	268/268	---M--	200	added ('OK')	text/xml	etag:42a1bce0481596253f437a0f676e8b0b	https://marceloamores61.wixsite.com/marce/sitemap.xml	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce/sitemap.xml	(from https://marceloamores61.wixsite.com/marce)
10:17:42	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jan%202021%2015:17:41%20GMT	https://marceloamores61.wixsite.com/marce/feed.xml	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce/feed.xml	(from https://marceloamores61.wixsite.com/marce)
10:17:42	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jan%202021%2015:17:42%20GMT	https://marceloamores61.wixsite.com/marce/$&/	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/marce/$&/index.html	(from https://marceloamores61.wixsite.com/marce)
